population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_confort,month_subset
95,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,65,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,70,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
