"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
30,30,10,24,18,16171.5696798719,753.854851670239,25442,-4143.85485167024,26749.6264071465
30,30,10,24,24,16317.8573893656,754.955157611371,26097,-3863.95515761137,25299.8656303883
30,30,10,24,6,16203.3521594582,766.863864706069,21947,-5509.86386470607,18702.2024543285
30,30,10,6,6,16156.5010642537,766.148789793958,22120,-5424.14878979396,18939.0215566158
30,30,2,12,12,18197.8296183548,841.612406061248,25299,-4254.61240606125,3576.12016677856
30,30,2,12,6,17936.0240090868,845.852159464448,22364,-5439.85215946445,3299.4847869873
30,30,2,18,12,18241.7994830002,843.891855774985,25018,-4219.89185577498,4053.29008364677
30,30,2,18,18,18978.734699136,881.94315976513,25476,-4470.94315976513,4252.88919997215
30,30,2,18,6,17705.5021760144,835.139671284424,22310,-5451.13967128442,3334.2853770256
30,30,2,24,12,18134.0113437652,838.532141503205,25258,-4195.5321415032,3548.62502145767
30,30,2,24,18,18892.5901068117,877.599981655269,25246,-4490.59998165527,5393.031488657
30,30,2,24,24,19255.4424383484,891.520602906131,25761,-4411.52060290613,4021.35860848427
30,30,2,24,6,17909.6915882019,844.906854691176,22074,-5559.90685469118,3074.72863435745
30,30,2,6,6,17778.3365946608,838.483759902944,22173,-5490.48375990294,10714.5493750572
30,30,5,12,12,15908.9493333668,733.543742371148,25373,-3882.54374237115,14702.5412285328
30,30,5,12,6,16604.5716892713,787.266350531506,22314,-5369.26635053151,9075.34101128578
30,30,5,18,12,15808.6467760904,729.059943576091,25451,-3864.05994357609,13927.1076292992
30,30,5,18,18,16651.7361866966,776.989853118291,25517,-4179.98985311829,14656.5310664177
30,30,5,18,6,16579.0355001556,784.342708510662,22277,-5428.34270851066,9547.08736276627
30,30,5,24,12,15795.4160768541,728.299319987414,25274,-3915.29931998741,13438.4965004921
30,30,5,24,18,16578.1155310463,774.37580088356,25549,-4176.37580088356,15284.2211081982
30,30,5,24,24,16812.1287476945,779.474991726703,26240,-3905.4749917267,16993.2033622265
30,30,5,24,6,16547.3188511081,783.806312815432,22325,-5401.80631281543,9728.55556988716
30,30,5,6,6,16565.3110829238,785.042044647648,22230,-5456.04204464765,10321.2642219067
30,40,1,12,12,20326.7406639207,944.604334610309,24762,-4665.60433461031,1453.41049838066
30,40,1,12,6,19518.3625609005,918.881184160402,22109,-5650.8811841604,1488.9681854248
30,40,1,18,12,20281.1000709482,938.646646280815,24899,-4690.64664628081,1471.94153261185
30,40,1,18,18,20663.2859699039,961.2609189071,24865,-5187.2609189071,1333.84916090965
30,40,1,18,6,19482.7941256464,914.519725557946,22074,-5709.51972555795,1401.29992508888
30,40,1,24,12,20208.1962301812,935.463697501559,24813,-4741.46369750156,1509.62976670265
30,40,1,24,18,20601.8478047063,952.654318706545,24755,-5220.65431870655,1422.31085658073
30,40,1,24,24,20971.6961829703,968.806059058603,25137,-5298.8060590586,1422.01285290718
30,40,1,24,6,19478.8619257376,915.019641257743,22160,-5665.01964125774,1599.32343363762
30,40,1,6,6,19478.0216032398,917.083712503198,22216,-5533.0837125032,1564.53935885429
30,40,10,12,12,15229.2537796294,701.367117092517,25238,-3832.36711709252,25821.9837300777
30,40,10,12,6,16116.8714421259,764.687146940366,21994,-5485.68714694037,20058.1038100719
30,40,10,18,12,15304.5452262051,708.030380477834,25081,-3827.03038047783,26148.9905207157
30,40,10,18,18,16047.9109161649,749.073169077935,25444,-4132.07316907794,27206.250619173
30,40,10,18,6,16126.8466773831,762.534646110437,22182,-5417.53464611044,20348.3875083923
30,40,10,24,12,15257.6099057042,702.64237503764,25171,-3860.64237503764,28400.4336237907
30,40,10,24,18,16110.0662628791,750.000437937461,25502,-4146.00043793746,27706.2315282822
30,40,10,24,24,16268.7850206676,752.273684296215,26079,-3856.27368429621,31760.8760669231
30,40,10,24,6,16122.0326517472,764.206824914739,22042,-5435.20682491474,21262.6004436016
30,40,10,6,6,16065.5250889776,761.703887911625,22015,-5420.70388791163,20620.2471086979
30,40,2,12,12,18054.3313414343,836.58441355097,25259,-4188.58441355097,3978.65412330627
30,40,2,12,6,17849.1657505015,842.326367309302,22207,-5495.3263673093,3528.17813253403
30,40,2,18,12,18185.5398015484,841.747798378562,25088,-4268.74779837856,4012.61892223358
30,40,2,18,18,18894.3774560929,879.719951160351,25467,-4410.71995116035,3859.94021606445
