"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
30,32,6,24,24,16629.8750238463,769.009723846837,26357,-3897.00972384684,18987.7102546692
30,32,8,12,12,15444.3554265886,711.882584881701,25151,-3915.8825848817,21458.4830749035
30,32,8,18,12,15404.9989683898,710.918177621364,25126,-3905.91817762136,21946.090993166
30,32,8,18,18,16198.9844976872,756.389423248246,25580,-4091.38942324825,23308.5129432678
30,32,8,24,12,15344.0690354833,706.669424036926,25109,-3908.66942403693,21521.4921491146
30,32,8,24,18,16178.8734297166,757.09478452566,25585,-4114.09478452566,23108.43110919
30,32,8,24,24,16295.8345205631,756.296312138207,26150,-3852.29631213821,24457.0279755592
30,34,10,12,12,15210.5461919028,701.078163075551,25270,-3843.07816307555,26194.8450586796
30,34,10,18,12,15404.7473226552,710.263679352493,25126,-3861.26367935249,25968.6421670914
30,34,10,18,18,16162.0311915479,755.32483456664,25548,-4117.32483456664,26965.1341018677
30,34,10,24,12,15306.83966404,706.477629079751,25188,-3855.47762907975,25382.5342464447
30,34,10,24,18,16219.6700440992,755.885921203253,25435,-4146.88592120325,26292.3505425453
30,34,10,24,24,16261.8868473797,751.659143600599,26242,-3837.6591436006,27556.8645119667
30,34,4,12,12,16133.4671437935,744.471142277469,25350,-3912.47114227747,10553.3587038517
30,34,4,18,12,16119.6507609944,745.298395140695,25382,-3931.2983951407,10192.71022439
30,34,4,18,18,17027.0017328364,795.688396711557,25579,-4170.68839671156,12161.899492979
30,34,4,24,12,16154.028310868,748.345993228827,25130,-3963.34599322883,10442.2486112118
30,34,4,24,18,16936.8412192072,789.877843873294,25435,-4195.87784387329,11715.1505625248
30,34,4,24,24,17055.2594321781,789.588528176584,26438,-3903.58852817658,12595.05656147
30,34,6,12,12,15614.9773059007,719.96391596923,25308,-3925.96391596923,17198.7876536846
30,34,6,18,12,15693.5496563574,724.006758779165,25268,-3846.00675877917,16793.9549548626
30,34,6,18,18,16427.053926149,764.209105072383,25498,-4077.20910507238,18890.5785133839
30,34,6,24,12,15650.9517861035,721.912121918037,25262,-3894.91212191804,17596.2788825035
30,34,6,24,18,16371.8730816085,762.889136001452,25613,-4107.88913600145,19178.5148513317
30,34,6,24,24,16534.4738318242,766.587468164526,26195,-3899.58746816453,20613.6285543442
30,34,8,12,12,15368.4048230892,709.597789968955,25240,-3904.59778996896,22415.1911432743
30,34,8,18,12,15482.5880814358,714.831535866378,25227,-3851.83153586638,22721.8100001812
30,34,8,18,18,16290.0056530248,761.164630091733,25447,-4140.16463009173,24072.753619194
30,34,8,24,12,15367.7678954554,708.744955497475,25246,-3905.74495549748,21962.6255347729
30,34,8,24,18,16270.6551149789,759.43248539193,25410,-4121.43248539193,23140.0311045647
30,34,8,24,24,16343.6218279611,756.785599262833,26357,-3886.78559926283,24583.2810182571
30,36,10,12,12,15349.6504857408,707.352049737449,25273,-3834.35204973745,29199.210313797
30,36,10,18,12,15293.6320905512,703.926149779858,25216,-3867.92614977986,29176.5647017956
30,36,10,18,18,16134.0377332112,751.385708200576,25359,-4135.38570820058,30418.4345934391
30,36,10,24,12,15263.19329709,706.011370027245,25175,-3858.01137002724,29023.6685795784
30,36,10,24,18,16168.4052833864,756.201546517628,25525,-4104.20154651763,26888.618452549
30,36,10,24,24,16226.2087043067,750.491303031363,26112,-3852.49130303136,28253.9168524742
30,36,4,12,12,16091.1470789,742.637153559967,25548,-3935.63715355997,10894.7768018246
30,36,4,18,12,16086.8158900421,741.256166817638,25235,-3962.25616681764,10760.0756626129
30,36,4,18,18,16940.2805098165,790.297201188311,25611,-4125.29720118831,11370.0030639172
30,36,4,24,12,16127.3070574469,743.834012603534,25256,-3933.83401260353,10441.8808643818
30,36,4,24,18,17041.8801636578,793.754570037511,25677,-4134.75457003751,11555.3493406773
30,36,4,24,24,17166.2036174477,794.640448378583,26049,-4011.64044837858,12256.5918133259
30,36,6,12,12,15594.5607887513,720.84871324237,25181,-3917.84871324237,17350.8379955292
30,36,6,18,12,15693.6677750174,723.468878771477,25295,-3906.46887877148,17094.2184817791
30,36,6,18,18,16472.7956646397,767.593730491752,25499,-4111.59373049175,18669.2365775108
