"","HourUTC","Ti","Te","Qh","set_point_low","set_point_high","air_temperature","SpotPriceEUR","GHI","act_vent","building_occupied","mean_temp_24h","elec_heating","cost_heating","building_comfort","reward","act_heat"
"2093",2019-01-15 12:40:00,24.3538787617405,19.9805300836162,8.13481547245631,23.2433140947535,25.2433140947535,4.62433333333333,0.053310001,18.9066666666667,1,1,1.988875,1.23454946179615,0.0658138330429023,1,-0.0658138330429023,1
"2094",2019-01-15 12:50:00,24.3270923492668,20.0562093588954,7.67322399615682,23.2433140947535,25.2433140947535,4.96116666666667,0.053310001,15.7833333333333,1,1,1.988875,1.0076383149637,0.053717199578353,1,-0.053717199578353,1
"2095",2019-01-15 13:00:00,24.3794529759567,20.1285405105908,7.99466094584115,23.2433140947535,25.2433140947535,5.298,0.052630001,12.66,1,1,2.139,1.15852000792326,0.0609729091755211,1,-0.0609729091755211,1
"2096",2019-01-15 13:10:00,23.6056965016135,20.2009037783932,3,22.8281638201039,24.8281638201039,5.48833333333333,0.052630001,11.6166666666667,1,1,2.139,0.166666666666667,0.00877166683333333,1,-0.00877166683333333,1
"2097",2019-01-15 13:20:00,24.0134174582022,20.2270631707139,9,22.8281638201039,24.8281638201039,5.67866666666667,0.052630001,10.5733333333333,1,1,2.139,1.92857142857143,0.101500716214286,1,-0.101500716214286,1
"2098",2019-01-15 13:30:00,23.9730386683318,20.2762557028908,6.77695634282152,22.8281638201039,24.8281638201039,5.869,0.052630001,9.53,1,1,2.139,0.70543593729518,0.0371270940852813,1,-0.0371270940852813,1
"2099",2019-01-15 13:40:00,24.035106269989,20.3218503274817,7.26150182126584,22.8281638201039,24.8281638201039,6.05933333333333,0.052630001,8.48666666666667,1,1,2.139,0.851290183664285,0.0448034032175415,1,-0.0448034032175415,1
"2100",2019-01-15 13:50:00,23.9723393147116,20.3698230740716,6.5166906013793,22.8281638201039,24.8281638201039,6.24966666666667,0.052630001,7.44333333333333,1,1,2.139,0.639823873008265,0.0336739310762489,1,-0.0336739310762489,1
"2101",2019-01-15 14:00:00,24.0613149546816,20.4130272004359,7.26989406470771,22.8281638201039,24.8281638201039,6.44,0.052630001,6.4,1,1,2.34225,0.854141473992629,0.0449534666303735,1,-0.0449534666303735,1
"2102",2019-01-15 14:10:00,23.4261034189697,20.4577887618195,3,22.5356034770459,24.5356034770459,6.41333333333333,0.052630001,5.35323333333333,1,1,2.34225,0.166666666666667,0.00877166683333333,1,-0.00877166683333333,1
"2103",2019-01-15 14:20:00,23.9321780086412,20.4634734503743,9,22.5356034770459,24.5356034770459,6.38666666666667,0.052630001,4.30646666666667,1,1,2.34225,1.92857142857143,0.101500716214286,1,-0.101500716214286,1
"2104",2019-01-15 14:30:00,23.537164946776,20.4965884166452,4.24110562085701,22.5356034770459,24.5356034770459,6.36,0.052630001,3.2597,1,1,2.34225,0.278251482511402,0.0146443758028266,1,-0.0146443758028266,1
"2105",2019-01-15 14:40:00,24.0203756691666,20.5048545609655,8.98126236323924,22.5356034770459,24.5356034770459,6.33333333333333,0.052630001,2.21293333333333,1,1,2.34225,1.90753588048619,0.100393615297524,1,-0.100393615297524,1
"2106",2019-01-15 14:50:00,23.4345533727592,20.5390973428536,3.18273369455154,22.5356034770459,24.5356034770459,6.30666666666667,0.052630001,1.16616666666667,1,1,2.34225,0.180899581660222,0.00952074516367705,1,-0.00952074516367705,1
"2107",2019-01-15 15:00:00,23.9471361372052,20.5377365770532,9,22.5356034770459,24.5356034770459,6.28,0.05391,0.1194,1,1,2.53629166666667,1.92857142857143,0.103969285714286,1,-0.103969285714286,1
"2108",2019-01-15 15:10:00,24.3497828909346,20.5647168827632,9,23.9762905326325,25.9762905326325,6.24216666666667,0.05391,0.0995,1,1,2.53629166666667,1.92857142857143,0.103969285714286,1,-0.103969285714286,1
"2109",2019-01-15 15:20:00,24.671067065435,20.6119747249976,9,23.9762905326325,25.9762905326325,6.20433333333333,0.05391,0.0796,1,1,2.53629166666667,1.92857142857143,0.103969285714286,1,-0.103969285714286,1
"2110",2019-01-15 15:30:00,24.9320059980737,20.6735893838575,9,23.9762905326325,25.9762905326325,6.1665,0.05391,0.0597,1,1,2.53629166666667,1.92857142857143,0.103969285714286,1,-0.103969285714286,1
"2111",2019-01-15 15:40:00,25.1480610442518,20.7452155933367,9,23.9762905326325,25.9762905326325,6.12866666666667,0.05391,0.0398,1,1,2.53629166666667,1.92857142857143,0.103969285714286,1,-0.103969285714286,1
"2112",2019-01-15 15:50:00,24.9870672042912,20.8236663720766,6.93875386056823,23.9762905326325,25.9762905326325,6.09083333333333,0.05391,0.0199,1,1,2.53629166666667,0.750361582235574,0.0404519928983198,1,-0.0404519928983198,1
"2113",2019-01-15 16:00:00,25.1957593457153,20.8873799384028,8.87067994009628,23.9762905326325,25.9762905326325,6.053,0.0545,0,1,1,2.71275,1.79059348401312,0.0975873448787148,1,-0.0975873448787148,1
"2114",2019-01-15 16:10:00,23.8935502389673,20.9584560054122,0,22.7483732971606,24.7483732971606,6.05116666666667,0.0545,0,1,1,2.71275,0,0,1,0,0
"2115",2019-01-15 16:20:00,22.8805806767366,20.9518402225559,0,22.7483732971606,24.7483732971606,6.04933333333333,0.0545,0,1,1,2.71275,0,0,1,0,0
"2116",2019-01-15 16:30:00,22.0810934897816,20.8889584414862,0,22.7483732971606,24.7483732971606,6.0475,0.0545,0,1,1,2.71275,0,0,1,0,0
"2117",2019-01-15 16:40:00,22.9393738055005,20.78555207499,9,22.7483732971606,24.7483732971606,6.04566666666667,0.0545,0,1,1,2.71275,1.92857142857143,0.105107142857143,1,-0.105107142857143,1
"2118",2019-01-15 16:50:00,23.596428709876,20.7371308823465,9,22.7483732971606,24.7483732971606,6.04383333333333,0.0545,0,1,1,2.71275,1.92857142857143,0.105107142857143,1,-0.105107142857143,1
"2119",2019-01-15 17:00:00,24.105136493805,20.7287257760848,9,22.7483732971606,24.7483732971606,6.042,0.05427,0,1,1,2.89804166666667,1.92857142857143,0.104663571428571,1,-0.104663571428571,1
"2120",2019-01-15 17:10:00,24.5031648447827,20.7488033747829,9,23.2850784724016,25.2850784724016,5.99366666666667,0.05427,0,1,1,2.89804166666667,1.92857142857143,0.104663571428571,1,-0.104663571428571,1
"2121",2019-01-15 17:20:00,24.3830983786079,20.7892489878044,6.38296353142755,23.2850784724016,25.2850784724016,5.94533333333333,0.05427,0,1,1,2.89804166666667,0.608927577363351,0.033046499623509,1,-0.033046499623509,1
"2122",2019-01-15 17:30:00,24.5348685158784,20.8196939784395,7.82376112552419,23.2850784724016,25.2850784724016,5.897,0.05427,0,1,1,2.89804166666667,1.07461410519072,0.0583193074887005,1,-0.0583193074887005,1
"2123",2019-01-15 17:40:00,24.3553118146791,20.8560260501496,6.0025194782781,23.2850784724016,25.2850784724016,5.84866666666667,0.05427,0,1,1,2.89804166666667,0.529895848295016,0.0287574476869705,1,-0.0287574476869705,1
"2124",2019-01-15 17:50:00,24.5784203961467,20.8793054773944,8.15719989267004,23.2850784724016,25.2850784724016,5.80033333333333,0.05427,0,1,1,2.89804166666667,1.247362993687,0.0676943896673933,1,-0.0676943896673933,1
"2125",2019-01-15 18:00:00,24.7797467844702,20.9129476070237,5.47989691505897,23.2850784724016,25.2850784724016,5.752,0.05332,0,0,1,3.07216666666667,0.438773733240591,0.0233954154563883,1,-0.0233954154563883,1
"2126",2019-01-15 18:10:00,24.5363776999802,20.9559477612745,3,22.9899053687853,24.9899053687853,5.78333333333333,0.05332,0,0,1,3.07216666666667,0.166666666666667,0.00888666666666667,1,-0.00888666666666667,1
"2127",2019-01-15 18:20:00,24.346577394914,20.9827874800411,3,22.9899053687853,24.9899053687853,5.81466666666667,0.05332,0,0,1,3.07216666666667,0.166666666666667,0.00888666666666667,1,-0.00888666666666667,1
"2128",2019-01-15 18:30:00,24.483975595456,20.9975543949841,4.71993568645536,22.9899053687853,24.9899053687853,5.846,0.05332,0,0,1,3.07216666666667,0.332907468408398,0.0177506262155358,1,-0.0177506262155358,1
"2129",2019-01-15 18:40:00,24.3236529175525,21.0193742707845,3.07115727995078,22.9899053687853,24.9899053687853,5.87733333333333,0.05332,0,0,1,3.07216666666667,0.172132002601912,0.00917807837873393,1,-0.00917807837873393,1
"2130",2019-01-15 18:50:00,24.5180697280594,21.0311095355808,4.99502941479267,22.9899053687853,24.9899053687853,5.90866666666667,0.05332,0,0,1,3.07216666666667,0.368185760321786,0.0196316647403576,1,-0.0196316647403576,1
"2131",2019-01-15 19:00:00,24.3458248088676,21.0532932341769,3,22.9899053687853,24.9899053687853,5.94,0.0525,0,0,0,3.24708333333333,0.166666666666667,0.00875,1,-0.00875,1
"2132",2019-01-15 19:10:00,23.7099270155716,21.0643032320555,0,11,13,5.93666666666667,0.0525,0,0,0,3.24708333333333,0,0,1,0,0
"2133",2019-01-15 19:20:00,23.1950567804831,21.0389444982173,0,11,13,5.93333333333333,0.0525,0,0,0,3.24708333333333,0,0,1,0,0
"2134",2019-01-15 19:30:00,22.7718105179129,20.9864425863204,0,11,13,5.93,0.0525,0,0,0,3.24708333333333,0,0,1,0,0
"2135",2019-01-15 19:40:00,22.4180006532535,20.9137554242142,0,11,13,5.92666666666667,0.0525,0,0,0,3.24708333333333,0,0,1,0,0
"2136",2019-01-15 19:50:00,22.1168840615906,20.8261300578729,0,11,13,5.92333333333333,0.0525,0,0,0,3.24708333333333,0,0,1,0,0
"2137",2019-01-15 20:00:00,21.85582543814,20.7275227101593,0,11,13,5.92,0.051650002,0,0,0,3.414875,0,0,0,0,0
"2138",2019-01-15 20:10:00,21.6252883844479,20.6209118912319,0,11,13,5.91633333333333,0.051650002,0,0,0,3.414875,0,0,0,0,0
