"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
20,20,10,15,6,3880.58806384424,226.746126624643,2394,-275.746126624643,84097.1675693989
20,20,10,18,12,3868.43031004273,224.264712321766,2368,-265.264712321766,42274.1944675446
20,20,10,18,18,3901.4853630701,226.312862650629,2354,-290.312862650629,30512.6605012417
20,20,10,18,6,3890.94895771007,225.841371298216,2368,-270.841371298216,83658.5439445972
20,20,10,24,12,3930.5686877818,227.584763159218,2372,-294.584763159218,44809.0513298512
20,20,10,24,18,3871.92933085044,224.677093271158,2375,-273.677093271158,29998.5281689167
20,20,10,24,24,3886.30687641964,224.82094823455,2420,-260.82094823455,22324.3547885418
20,20,10,24,6,3906.15441028895,226.910944541285,2341,-285.910944541285,87062.2040293217
20,20,10,6,6,704.215227067562,28.4242138922978,2527,-207.424213892298,85935.0259726048
20,20,10,6,6,107.256279661067,3.8801952589612,1953,-992.880195258961,78839.252332449
20,20,10,9,6,2234.63054564755,87.3810267839093,2382,-98.3810267839093,80511.5744624138
20,20,10,9,6,703.626027418782,28.4986965759311,2514,-225.498696575931,85125.5163812637
20,20,3,12,12,3924.69565692125,229.812581789728,2313,-305.812581789728,21614.0770816803
20,20,3,12,6,3971.20485273391,229.944842189413,2297,-356.944842189413,43635.7610783577
20,20,3,15,12,4000.06210904769,232.870891275672,2242,-355.870891275672,20652.2957742214
20,20,3,15,6,3918.60448939851,226.495638052615,2290,-331.495638052615,42468.5978536606
20,20,3,18,12,3936.45615323738,229.081411107616,2241,-365.081411107616,22881.0772233009
20,20,3,18,18,3994.68261582313,232.616908454545,2244,-370.616908454545,15736.5544483662
20,20,3,18,6,3970.29729169246,230.749180080829,2295,-363.749180080829,39175.2120785713
20,20,3,24,12,3929.64727094495,227.689690212075,2302,-348.689690212075,22616.5814006329
20,20,3,24,18,3895.80419952317,226.49191055161,2309,-308.49191055161,15272.5905573368
20,20,3,24,24,3959.01508317735,229.687758895354,2258,-366.687758895354,11347.9113771915
20,20,3,24,6,3950.65377545287,229.407957953949,2269,-336.407957953949,47087.3900883198
20,20,5,12,12,3937.80798526855,229.342316041014,2378,-262.342316041014,40814.2501173019
20,20,5,12,6,3890.46122787338,225.427492361208,2387,-266.427492361208,73750.7055978775
20,20,5,15,12,3881.12153737114,224.251236362926,2329,-304.251236362926,39786.2109415531
20,20,5,15,6,3932.08974000581,228.029493826198,2381,-284.029493826198,77634.8771722317
20,20,5,18,12,3875.87705178268,225.530845572608,2371,-295.530845572608,38050.1628568172
20,20,5,18,18,3897.52510232442,226.128099808801,2359,-293.128099808801,27279.0163965225
20,20,5,18,6,3888.92172693092,225.821039444712,2370,-301.821039444712,78768.1872851849
20,20,5,24,12,3900.41900028721,227.35037783971,2318,-328.35037783971,42191.0957267284
20,20,5,24,18,3877.41044875253,225.853547009602,2351,-302.853547009602,26735.4735486507
20,20,5,24,24,3898.0485682716,226.051451100089,2383,-279.051451100089,22214.7458837032
20,20,5,24,24,2272.92448740709,88.8950678454038,2380,-111.895067845404,17190.5712609291
