population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_Service_Min,month_subset
100,25,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
55,15,9,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
95,5,11,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
20,50,7,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
20,45,11,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
75,40,3,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
85,20,11,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
50,45,7,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
50,40,7,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
90,35,5,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
20,40,3,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
50,30,7,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
100,30,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
20,45,3,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
90,10,7,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
70,25,5,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
100,35,7,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
80,25,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
100,10,7,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
10,20,9,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
75,20,9,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
60,15,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
40,15,3,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
55,40,11,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
35,50,5,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
100,50,7,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
65,45,11,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
30,25,9,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
60,15,9,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
85,45,5,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
80,30,11,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
40,20,7,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
45,30,3,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
55,5,5,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
25,35,3,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
100,15,5,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
15,30,9,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
95,35,5,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
65,10,7,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
65,35,11,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
15,20,5,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
100,50,7,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
70,50,7,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
90,35,7,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
55,25,9,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
40,20,5,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
100,5,7,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
25,10,7,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
50,40,11,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
30,10,5,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
60,35,3,0,0.15,36,24,0,1,2,4,2,4,0.5,10,10,0
100,50,9,0,0.125,36,24,0,1,2,4,2,4,0.5,10,10,0
50,40,11,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
90,10,11,0,0.075,36,24,0,1,2,4,2,4,0.5,10,10,0
95,35,5,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
40,5,7,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
100,45,9,0,0.175,36,24,0,1,2,4,2,4,0.5,10,10,0
60,5,3,0,0.05,36,24,0,1,2,4,2,4,0.5,10,10,0
35,40,7,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
65,40,9,0,0.2,36,24,0,1,2,4,2,4,0.5,10,10,0
30,50,7,0,0.1,36,24,0,1,2,4,2,4,0.5,10,10,0
