"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast","MarketUTC"
"1204",2019-01-05 04:15:00,4.77175,0,0.02209,0,5.12029166666667,19.0757275527212,16.3841172610508,0,19.9882175611356,20.9882175611356,38.5522765581798,39.5522765581798,1,0,9,0,0.632493404643934,0,0.632493404643934,0.0139717793085845,0,-0.0139717793085845,4.77175,0,19.0757275527212,16.3841172610508,9,0,0.632493404643934,2019-01-05 04:15:00
"1205",2019-01-05 04:20:00,4.769,0,0.02209,0,5.12029166666667,19.566294313393,16.3928729616985,0,19.9882175611356,20.9882175611356,38.5522765581798,39.5522765581798,1,0,9,0,0.632502384380407,0,0.632502384380407,0.0139719776709632,0,-0.0139719776709632,4.769,0,19.566294313393,16.3928729616985,9,0,0.632502384380407,2019-01-05 04:15:00
"1206",2019-01-05 04:25:00,4.76625,0,0.02209,0,5.12029166666667,20.0117764176201,16.4150450580175,0,19.9882175611356,20.9882175611356,38.5522765581798,39.5522765581798,1,0,9,0,0.632511365334165,0,0.632511365334165,0.0139721760602317,0,-0.0139721760602317,4.76625,0,20.0117764176201,16.4150450580175,9,0,0.632511365334165,2019-01-05 04:15:00
"1207",2019-01-05 04:30:00,4.7635,0,0.02209,0,5.12029166666667,19.6676382939638,16.4489196527119,0,12.2719708069842,13.2719708069842,33.4132555532411,34.4132555532411,0,0,0,0,0,0,0,0,0,0,4.7635,0,19.6676382939638,16.4489196527119,0,0,0,2019-01-05 04:30:00
"1208",2019-01-05 04:35:00,4.76075,0,0.02209,0,5.12029166666667,19.3588421524183,16.4720065807233,0,12.2719708069842,13.2719708069842,33.4132555532411,34.4132555532411,0,0,0,0,0,0,0,0,0,0,4.76075,0,19.3588421524183,16.4720065807233,0,0,0,2019-01-05 04:30:00
"1209",2019-01-05 04:40:00,4.758,0,0.02209,0,5.12029166666667,19.0810792811239,16.4856584907688,0,12.2719708069842,13.2719708069842,33.4132555532411,34.4132555532411,0,0,0,0,0,0,0,0,0,0,4.758,0,19.0810792811239,16.4856584907688,0,0,0,2019-01-05 04:30:00
"1210",2019-01-05 04:45:00,4.75525,0,0.02209,0,5.12029166666667,18.8305697453556,16.4910618603132,0,13.2771765848951,14.2771765848951,30.6139102283486,31.6139102283486,0,0,0,0,0,0,0,0,0,0,4.75525,0,18.8305697453556,16.4910618603132,0,0,0,2019-01-05 04:45:00
"1211",2019-01-05 04:50:00,4.7525,0,0.02209,0,5.12029166666667,18.6039974786844,16.4892573943148,0,13.2771765848951,14.2771765848951,30.6139102283486,31.6139102283486,0,0,0,0,0,0,0,0,0,0,4.7525,0,18.6039974786844,16.4892573943148,0,0,0,2019-01-05 04:45:00
"1212",2019-01-05 04:55:00,4.74975,0,0.02209,0,5.12029166666667,18.3984533419492,16.4811579199424,0,13.2771765848951,14.2771765848951,30.6139102283486,31.6139102283486,0,0,0,0,0,0,0,0,0,0,4.74975,0,18.3984533419492,16.4811579199424,0,0,0,2019-01-05 04:45:00
"1213",2019-01-05 05:00:00,4.747,0,0.02335,0,5.137875,18.2113851719566,16.4675640846446,0,12.56023246959,13.56023246959,30.5599291605768,31.5599291605768,0,0,0,0,0,0,0,0,0,0,4.747,0,18.2113851719566,16.4675640846446,0,0,0,2019-01-05 05:00:00
"1214",2019-01-05 05:05:00,4.76433333333333,0,0.02335,0,5.137875,18.0405671243882,16.4492932184803,0,12.56023246959,13.56023246959,30.5599291605768,31.5599291605768,0,0,0,0,0,0,0,0,0,0,4.76433333333333,0,18.0405671243882,16.4492932184803,0,0,0,2019-01-05 05:00:00
"1215",2019-01-05 05:10:00,4.78166666666667,0,0.02335,0,5.137875,17.8840443690343,16.4269577204205,0,12.56023246959,13.56023246959,30.5599291605768,31.5599291605768,0,0,0,0,0,0,0,0,0,0,4.78166666666667,0,17.8840443690343,16.4269577204205,0,0,0,2019-01-05 05:00:00
"1216",2019-01-05 05:15:00,4.799,0,0.02335,0,5.137875,17.7401018582793,16.4010946421965,0,15.4255248651601,16.4255248651601,28.5738007884776,29.5738007884776,0,0,0,0,0,0,0,0,0,0,4.799,0,17.7401018582793,16.4010946421965,0,0,0,2019-01-05 05:15:00
"1217",2019-01-05 05:20:00,4.81633333333333,0,0.02335,0,5.137875,17.6072348936738,16.3721749382461,0,15.4255248651601,16.4255248651601,28.5738007884776,29.5738007884776,0,0,0,0,0,0,0,0,0,0,4.81633333333333,0,17.6072348936738,16.3721749382461,0,0,0,2019-01-05 05:15:00
"1218",2019-01-05 05:25:00,4.83366666666667,0,0.02335,0,5.137875,17.4841233055702,16.3406115801905,0,15.4255248651601,16.4255248651601,28.5738007884776,29.5738007884776,0,0,0,0,0,0,0,0,0,0,4.83366666666667,0,17.4841233055702,16.3406115801905,0,0,0,2019-01-05 05:15:00
"1219",2019-01-05 05:30:00,4.851,0,0.02335,0,5.137875,17.3696088023046,16.3067666752231,0,14.1490508045631,15.1490508045631,35.1039111831544,36.1039111831544,0,0,0,0,0,0,0,0,0,0,4.851,0,17.3696088023046,16.3067666752231,0,0,0,2019-01-05 05:30:00
"1220",2019-01-05 05:35:00,4.86833333333333,0,0.02335,0,5.137875,17.2626750998507,16.2709577106863,0,14.1490508045631,15.1490508045631,35.1039111831544,36.1039111831544,0,0,0,0,0,0,0,0,0,0,4.86833333333333,0,17.2626750998507,16.2709577106863,0,0,0,2019-01-05 05:30:00
"1221",2019-01-05 05:40:00,4.88566666666667,0,0.02335,0,5.137875,17.1624304906322,16.2334630320975,0,14.1490508045631,15.1490508045631,35.1039111831544,36.1039111831544,0,0,0,0,0,0,0,0,0,0,4.88566666666667,0,17.1624304906322,16.2334630320975,0,0,0,2019-01-05 05:30:00
"1222",2019-01-05 05:45:00,4.903,0,0.02335,0,5.137875,17.068092552077,16.1945266487237,0,17.1450348270586,18.1450348270586,35.738367200766,36.738367200766,0,0,0,0,0,0,0,0,0,0,4.903,0,17.068092552077,16.1945266487237,0,0,0,2019-01-05 05:45:00
"1223",2019-01-05 05:50:00,4.92033333333333,0,0.02335,0,5.137875,17.7289747322528,16.1543624492492,0,17.1450348270586,18.1450348270586,35.738367200766,36.738367200766,1,0,9,0,0.632010029594008,0,0.632010029594008,0.0147574341910201,0,-0.0147574341910201,4.92033333333333,0,17.7289747322528,16.1543624492492,9,0,0.632010029594008,2019-01-05 05:45:00
"1224",2019-01-05 05:55:00,4.93766666666667,0,0.02335,0,5.137875,17.8243063366331,16.1341448578154,0,17.1450348270586,18.1450348270586,35.738367200766,36.738367200766,1,0,3,0,0.131953869982685,0,0.131953869982685,0.0030811228640957,0,-0.0030811228640957,4.93766666666667,0,17.8243063366331,16.1341448578154,3,0,0.131953869982685,2019-01-05 05:45:00
"1225",2019-01-05 06:00:00,4.955,0,0.048220001,0,5.16254166666667,17.6588520392032,16.1173758270526,0,16.3490602707649,17.3490602707649,35.353356857735,36.353356857735,0,0,0,0,0,0,0,0,0,0,4.955,0,17.6588520392032,16.1173758270526,0,0,0,2019-01-05 06:00:00
"1226",2019-01-05 06:05:00,4.94941666666667,0.305083333333333,0.048220001,0,5.16254166666667,17.5074180485768,16.0965399314533,0,16.3490602707649,17.3490602707649,35.353356857735,36.353356857735,0,0,0,0,0,0,0,0,0,0,4.94941666666667,0.305083333333333,17.5074180485768,16.0965399314533,0,0,0,2019-01-05 06:00:00
"1227",2019-01-05 06:10:00,4.94383333333333,0.610166666666667,0.048220001,0,5.16254166666667,17.3683148366847,16.0721666032188,0,16.3490602707649,17.3490602707649,35.353356857735,36.353356857735,0,0,0,0,0,0,0,0,0,0,4.94383333333333,0.610166666666667,17.3683148366847,16.0721666032188,0,0,0,2019-01-05 06:00:00
"1228",2019-01-05 06:15:00,4.93825,0.91525,0.048220001,0,5.16254166666667,17.2400601292035,16.0447201482402,0,15.583713947682,16.583713947682,32.4041913548855,33.4041913548855,0,0,0,0,0,0,0,0,0,0,4.93825,0.91525,17.2400601292035,16.0447201482402,0,0,0,2019-01-05 06:15:00
"1229",2019-01-05 06:20:00,4.93266666666667,1.22033333333333,0.048220001,0,5.16254166666667,17.1213534649975,16.0146077412217,0,15.583713947682,16.583713947682,32.4041913548855,33.4041913548855,0,0,0,0,0,0,0,0,0,0,4.93266666666667,1.22033333333333,17.1213534649975,16.0146077412217,0,0,0,2019-01-05 06:15:00
"1230",2019-01-05 06:25:00,4.92708333333333,1.52541666666667,0.048220001,0,5.16254166666667,17.0110538784858,15.9821864393688,0,15.583713947682,16.583713947682,32.4041913548855,33.4041913548855,0,0,0,0,0,0,0,0,0,0,4.92708333333333,1.52541666666667,17.0110538784858,15.9821864393688,0,0,0,2019-01-05 06:15:00
"1231",2019-01-05 06:30:00,4.9215,1.8305,0.048220001,0,5.16254166666667,16.908160321582,15.9477693351165,0,15.0674523445101,16.0674523445101,33.6698672459928,34.6698672459928,0,0,0,0,0,0,0,0,0,0,4.9215,1.8305,16.908160321582,15.9477693351165,0,0,0,2019-01-05 06:30:00
"1232",2019-01-05 06:35:00,4.91591666666667,2.13558333333333,0.048220001,0,5.16254166666667,16.8117944889139,15.9116309535832,0,15.0674523445101,16.0674523445101,33.6698672459928,34.6698672459928,0,0,0,0,0,0,0,0,0,0,4.91591666666667,2.13558333333333,16.8117944889139,15.9116309535832,0,0,0,2019-01-05 06:30:00
"1233",2019-01-05 06:40:00,4.91033333333333,2.44066666666667,0.048220001,0,5.16254166666667,16.7211857513109,15.8740119874636,0,15.0674523445101,16.0674523445101,33.6698672459928,34.6698672459928,0,0,0,0,0,0,0,0,0,0,4.91033333333333,2.44066666666667,16.7211857513109,15.8740119874636,0,0,0,2019-01-05 06:30:00
